,senator_name,party,state
0,Baldwin,D,WI
1,Bennet,D,CO
2,Blumenthal,D,CT
3,Boozman,R,AR
4,Britt,R,AL
5,Budd,R,NC
6,Cantwell,D,WA
7,Cardin,D,MD
8,Casey,D,PA
9,Collins,R,ME
10,Cornyn,R,TX
11,Cotton,R,AR
12,Crapo,R,ID
13,Daines,R,MT
14,Durbin,D,IL
15,Fetterman,D,PA
16,Gillibrand,D,NY
17,Grassley,R,IA
18,Hassan,D,NH
19,Heinrich,D,NM
20,Hickenlooper,D,CO
21,Hoeven,R,ND
22,Johnson,R,WI
23,Kelly,D,AZ
24,King,I,ME
25,Lankford,R,OK
26,Lujan,D,NM
27,Manchin,I,WV
28,Marshall,R,KS
29,Merkley,D,OR
30,Mullin,R,OK
31,Murphy,D,CT
32,Ossoff,D,GA
33,Paul,R,KY
34,Reed,D,RI
35,Risch,R,ID
36,Rosen,D,NV
37,Rubio,R,FL
38,Schatz,D,HI
39,Schumer,D,NY
40,Scott,R,SC
41,Sinema,I,AZ
42,Stabenow,D,MI
43,Tester,D,MT
44,Tillis,R,NC
45,Vance,R,OH
46,Warner,D,VA
47,Warren,D,MA
48,Whitehouse,D,RI
49,Wyden,D,OR
50,Hirono,D,HI
51,Smith,R,MS
52,Kaine,D,VA
53,Kennedy,R,LA
54,Klobuchar,D,MN
55,Lee,R,UT
56,Lummis,R,WY
57,Markey,D,MA
58,McConnell,R,KY
